Segment	Country	 Product 	 Discount Band 	COGS	Units Sold	Sale Price	Discounts	Date
Government	France	 Amarilla 	 Low 	9410.0	941.0	20.0	376.4	01/11/2014
Small Business	Canada	 Amarilla 	 Low 	479000.0	1916.0	300.0	11496.0	01/12/2014
Enterprise	France	 Carretera 	 Low 	509220.0	4243.5	125.0	15913.1	01/04/2014
Government	Germany	 Carretera 	 Low 	25800.0	2580.0	20.0	1548.0	01/04/2014
Small Business	Germany	 Carretera 	 Low 	172250.0	689.0	300.0	6201.0	01/06/2014
Channel Partners	United States of America	 Carretera 	 Low 	5841.0	1947.0	12.0	700.9	01/09/2014
Channel Partners	Canada	 Carretera 	 Low 	2724.0	908.0	12.0	326.9	01/12/2013
Government	Germany	 Montana 	 Low 	9790.0	1958.0	7.0	411.2	01/02/2014
Channel Partners	France	 Montana 	 Low 	5703.0	1901.0	12.0	684.4	01/06/2014
Government	France	 Montana 	 Low 	2720.0	544.0	7.0	114.2	01/09/2014
Government	Germany	 Montana 	 Low 	467220.0	1797.0	350.0	18868.5	01/09/2013
Enterprise	France	 Montana 	 Low 	154440.0	1287.0	125.0	4826.3	01/12/2014
Enterprise	Germany	 Montana 	 Low 	204720.0	1706.0	125.0	6397.5	01/12/2014
Small Business	France	 Paseo 	 Low 	608625.0	2434.5	300.0	21910.5	01/01/2014
Enterprise	Canada	 Paseo 	 Low 	212880.0	1774.0	125.0	6652.5	01/03/2014
Channel Partners	France	 Paseo 	 Low 	5703.0	1901.0	12.0	684.4	01/06/2014
Small Business	Germany	 Paseo 	 Low 	172250.0	689.0	300.0	6201.0	01/06/2014
Enterprise	Germany	 Paseo 	 Low 	188400.0	1570.0	125.0	5887.5	01/06/2014
Channel Partners	United States of America	 Paseo 	 Low 	4108.5	1369.5	12.0	493.0	01/07/2014
Enterprise	Canada	 Paseo 	 Low 	241080.0	2009.0	125.0	7533.8	01/10/2014
Midmarket	Germany	 Paseo 	 Low 	19450.0	1945.0	15.0	875.3	01/10/2013
Enterprise	France	 Paseo 	 Low 	154440.0	1287.0	125.0	4826.3	01/12/2014
Enterprise	Germany	 Paseo 	 Low 	204720.0	1706.0	125.0	6397.5	01/12/2014
Enterprise	Canada	 Velo 	 Low 	241080.0	2009.0	125.0	7533.8	01/10/2014
Small Business	United States of America	 VTT 	 Low 	711000.0	2844.0	300.0	25596.0	01/02/2014
Channel Partners	Mexico	 VTT 	 Low 	5748.0	1916.0	12.0	689.8	01/04/2014
Enterprise	Germany	 VTT 	 Low 	188400.0	1570.0	125.0	5887.5	01/06/2014
Small Business	Canada	 VTT 	 Low 	468500.0	1874.0	300.0	16866.0	01/08/2014
Government	Mexico	 VTT 	 Low 	426920.0	1642.0	350.0	17241.0	01/08/2014
Midmarket	Germany	 VTT 	 Low 	19450.0	1945.0	15.0	875.3	01/10/2013
Government	Canada	 Carretera 	 Low 	8310.0	831.0	20.0	498.6	01/05/2014
Government	Mexico	 Paseo 	 Low 	8800.0	1760.0	7.0	369.6	01/09/2013
Government	Canada	 Velo 	 Low 	38505.0	3850.5	20.0	2310.3	01/04/2014
Channel Partners	Germany	 VTT 	 Low 	7437.0	2479.0	12.0	892.4	01/01/2014
Midmarket	Mexico	 Montana 	 Low 	20310.0	2031.0	15.0	1218.6	01/10/2014
Midmarket	Mexico	 Paseo 	 Low 	20310.0	2031.0	15.0	1218.6	01/10/2014
Midmarket	France	 Paseo 	 Low 	22610.0	2261.0	15.0	1356.6	01/12/2013
Government	United States of America	 Velo 	 Low 	7360.0	736.0	20.0	588.8	01/09/2013
Government	Canada	 Carretera 	 Low 	14255.0	2851.0	7.0	798.3	01/10/2013
Small Business	Germany	 Carretera 	 Low 	505250.0	2021.0	300.0	24252.0	01/10/2014
Government	United States of America	 Carretera 	 Low 	71240.0	274.0	350.0	3836.0	01/12/2014
Midmarket	Canada	 Montana 	 Low 	19670.0	1967.0	15.0	1180.2	01/03/2014
Small Business	Germany	 Montana 	 Low 	464750.0	1859.0	300.0	22308.0	01/08/2014
Government	Canada	 Montana 	 Low 	14255.0	2851.0	7.0	798.3	01/10/2013
Small Business	Germany	 Montana 	 Low 	505250.0	2021.0	300.0	24252.0	01/10/2014
Enterprise	Mexico	 Montana 	 Low 	136560.0	1138.0	125.0	5690.0	01/12/2014
Government	Canada	 Paseo 	 Low 	21255.0	4251.0	7.0	1190.3	01/01/2014
Enterprise	Germany	 Paseo 	 Low 	95400.0	795.0	125.0	3975.0	01/03/2014
Small Business	Germany	 Paseo 	 Low 	353625.0	1414.5	300.0	16974.0	01/04/2014
Small Business	United States of America	 Paseo 	 Low 	729500.0	2918.0	300.0	35016.0	01/05/2014
Government	United States of America	 Paseo 	 Low 	897000.0	3450.0	350.0	48300.0	01/07/2014
Enterprise	France	 Paseo 	 Low 	358560.0	2988.0	125.0	14940.0	01/07/2014
Midmarket	Canada	 Paseo 	 Low 	2180.0	218.0	15.0	130.8	01/09/2014
Government	Canada	 Paseo 	 Low 	20740.0	2074.0	20.0	1659.2	01/09/2014
Government	United States of America	 Paseo 	 Low 	10560.0	1056.0	20.0	844.8	01/09/2014
Midmarket	United States of America	 Paseo 	 Low 	6710.0	671.0	15.0	402.6	01/10/2013
Midmarket	Mexico	 Paseo 	 Low 	15140.0	1514.0	15.0	908.4	01/10/2013
Government	United States of America	 Paseo 	 Low 	71240.0	274.0	350.0	3836.0	01/12/2014
Enterprise	Mexico	 Paseo 	 Low 	136560.0	1138.0	125.0	5690.0	01/12/2014
Channel Partners	United States of America	 Velo 	 Low 	4395.0	1465.0	12.0	703.2	01/03/2014
Government	Canada	 Velo 	 Low 	26460.0	2646.0	20.0	2116.8	01/09/2013
Government	France	 Velo 	 Low 	566020.0	2177.0	350.0	30478.0	01/10/2014
Channel Partners	France	 VTT 	 Low 	2598.0	866.0	12.0	415.7	01/05/2014
Government	United States of America	 VTT 	 Low 	90740.0	349.0	350.0	4886.0	01/09/2013
Government	France	 VTT 	 Low 	566020.0	2177.0	350.0	30478.0	01/10/2014
Midmarket	Mexico	 VTT 	 Low 	15140.0	1514.0	15.0	908.4	01/10/2013
Government	Mexico	 Amarilla 	 Low 	484900.0	1865.0	350.0	26110.0	01/02/2014
Enterprise	Mexico	 Amarilla 	 Low 	128880.0	1074.0	125.0	5370.0	01/04/2014
Government	Germany	 Amarilla 	 Low 	495820.0	1907.0	350.0	26698.0	01/09/2014
Midmarket	United States of America	 Amarilla 	 Low 	6710.0	671.0	15.0	402.6	01/10/2013
Government	Canada	 Amarilla 	 Low 	462280.0	1778.0	350.0	24892.0	01/12/2013
Government	Germany	 Montana 	 Medium 	5795.0	1159.0	7.0	405.7	01/10/2013
Government	Germany	 Paseo 	 Medium 	6860.0	1372.0	7.0	480.2	01/01/2014
Government	Canada	 Paseo 	 Medium 	11745.0	2349.0	7.0	822.2	01/09/2013
Government	Mexico	 Paseo 	 Medium 	13445.0	2689.0	7.0	941.2	01/10/2014
Channel Partners	Canada	 Paseo 	 Medium 	7293.0	2431.0	12.0	1458.6	01/12/2014
Channel Partners	Canada	 Velo 	 Medium 	7293.0	2431.0	12.0	1458.6	01/12/2014
Government	Mexico	 VTT 	 Medium 	13445.0	2689.0	7.0	941.2	01/10/2014
Government	Mexico	 Amarilla 	 Medium 	8415.0	1683.0	7.0	589.1	01/07/2014
Channel Partners	Mexico	 Amarilla 	 Medium 	3369.0	1123.0	12.0	673.8	01/08/2014
Government	Germany	 Amarilla 	 Medium 	5795.0	1159.0	7.0	405.7	01/10/2013
Channel Partners	France	 Carretera 	 Medium 	5595.0	1865.0	12.0	1119.0	01/02/2014
Channel Partners	Germany	 Carretera 	 Medium 	3348.0	1116.0	12.0	669.6	01/02/2014
Government	France	 Carretera 	 Medium 	15630.0	1563.0	20.0	1563.0	01/05/2014
Small Business	United States of America	 Carretera 	 Medium 	247750.0	991.0	300.0	14865.0	01/06/2014
Government	Germany	 Carretera 	 Medium 	5080.0	1016.0	7.0	355.6	01/11/2013
Midmarket	Mexico	 Carretera 	 Medium 	27910.0	2791.0	15.0	2093.3	01/11/2014
Government	United States of America	 Carretera 	 Medium 	2850.0	570.0	7.0	199.5	01/12/2014
Government	France	 Carretera 	 Medium 	12435.0	2487.0	7.0	870.5	01/12/2014
Government	France	 Montana 	 Medium 	359970.0	1384.5	350.0	24228.8	01/01/2014
Enterprise	United States of America	 Montana 	 Medium 	435240.0	3627.0	125.0	22668.8	01/07/2014
Government	Mexico	 Montana 	 Medium 	187200.0	720.0	350.0	12600.0	01/09/2013
Channel Partners	Germany	 Montana 	 Medium 	7026.0	2342.0	12.0	1405.2	01/11/2014
Small Business	Mexico	 Montana 	 Medium 	275000.0	1100.0	300.0	16500.0	01/12/2013
Government	France	 Paseo 	 Medium 	13030.0	1303.0	20.0	1303.0	01/02/2014
Enterprise	United States of America	 Paseo 	 Medium 	359040.0	2992.0	125.0	18700.0	01/03/2014
Enterprise	France	 Paseo 	 Medium 	286200.0	2385.0	125.0	14906.3	01/03/2014
Small Business	Mexico	 Paseo 	 Medium 	401750.0	1607.0	300.0	24105.0	01/04/2014
Government	United States of America	 Paseo 	 Medium 	11635.0	2327.0	7.0	814.5	01/05/2014
Small Business	United States of America	 Paseo 	 Medium 	247750.0	991.0	300.0	14865.0	01/06/2014
Government	United States of America	 Paseo 	 Medium 	156520.0	602.0	350.0	10535.0	01/06/2014
Midmarket	France	 Paseo 	 Medium 	26200.0	2620.0	15.0	1965.0	01/09/2014
Government	Canada	 Paseo 	 Medium 	319280.0	1228.0	350.0	21490.0	01/10/2013
Government	Canada	 Paseo 	 Medium 	13890.0	1389.0	20.0	1389.0	01/10/2013
Enterprise	United States of America	 Paseo 	 Medium 	103320.0	861.0	125.0	5381.3	01/10/2014
Enterprise	France	 Paseo 	 Medium 	84480.0	704.0	125.0	4400.0	01/10/2013
Government	Canada	 Paseo 	 Medium 	18020.0	1802.0	20.0	1802.0	01/12/2013
Government	United States of America	 Paseo 	 Medium 	26630.0	2663.0	20.0	2663.0	01/12/2014
Government	France	 Paseo 	 Medium 	10680.0	2136.0	7.0	747.6	01/12/2013
Midmarket	Germany	 Paseo 	 Medium 	21160.0	2116.0	15.0	1587.0	01/12/2013
Midmarket	United States of America	 Velo 	 Medium 	5550.0	555.0	15.0	416.3	01/01/2014
Midmarket	Mexico	 Velo 	 Medium 	28610.0	2861.0	15.0	2145.8	01/01/2014
Enterprise	Germany	 Velo 	 Medium 	96840.0	807.0	125.0	5043.8	01/02/2014
Government	United States of America	 Velo 	 Medium 	156520.0	602.0	350.0	10535.0	01/06/2014
Government	United States of America	 Velo 	 Medium 	28320.0	2832.0	20.0	2832.0	01/08/2014
Government	France	 Velo 	 Medium 	15790.0	1579.0	20.0	1579.0	01/08/2014
Enterprise	United States of America	 Velo 	 Medium 	103320.0	861.0	125.0	5381.3	01/10/2014
Enterprise	France	 Velo 	 Medium 	84480.0	704.0	125.0	4400.0	01/10/2013
Government	France	 Velo 	 Medium 	10330.0	1033.0	20.0	1033.0	01/12/2013
Small Business	Germany	 Velo 	 Medium 	312500.0	1250.0	300.0	18750.0	01/12/2014
Government	Canada	 VTT 	 Medium 	13890.0	1389.0	20.0	1389.0	01/10/2013
Government	United States of America	 VTT 	 Medium 	12650.0	1265.0	20.0	1265.0	01/11/2013
Government	Germany	 VTT 	 Medium 	22970.0	2297.0	20.0	2297.0	01/11/2013
Government	United States of America	 VTT 	 Medium 	26630.0	2663.0	20.0	2663.0	01/12/2014
Government	United States of America	 VTT 	 Medium 	2850.0	570.0	7.0	199.5	01/12/2014
Government	France	 VTT 	 Medium 	12435.0	2487.0	7.0	870.5	01/12/2014
Government	Germany	 Amarilla 	 Medium 	351000.0	1350.0	350.0	23625.0	01/02/2014
Government	Canada	 Amarilla 	 Medium 	143520.0	552.0	350.0	9660.0	01/08/2014
Government	Canada	 Amarilla 	 Medium 	319280.0	1228.0	350.0	21490.0	01/10/2013
Small Business	Germany	 Amarilla 	 Medium 	312500.0	1250.0	300.0	18750.0	01/12/2014
Midmarket	France	 Paseo 	 Medium 	38010.0	3801.0	15.0	3420.9	01/04/2014
Government	United States of America	 Carretera 	 Medium 	11175.0	1117.5	20.0	1341.0	01/01/2014
Midmarket	Canada	 Carretera 	 Medium 	28440.0	2844.0	15.0	2559.6	01/06/2014
Channel Partners	Mexico	 Carretera 	 Medium 	1686.0	562.0	12.0	404.6	01/09/2014
Channel Partners	Canada	 Carretera 	 Medium 	6897.0	2299.0	12.0	1655.3	01/10/2013
Midmarket	United States of America	 Carretera 	 Medium 	20300.0	2030.0	15.0	1827.0	01/11/2014
Government	United States of America	 Carretera 	 Medium 	1315.0	263.0	7.0	110.5	01/11/2013
Enterprise	Germany	 Carretera 	 Medium 	106440.0	887.0	125.0	6652.5	01/12/2013
Government	Mexico	 Montana 	 Medium 	254800.0	980.0	350.0	20580.0	01/04/2014
Government	Germany	 Montana 	 Medium 	379600.0	1460.0	350.0	30660.0	01/05/2014
Government	France	 Montana 	 Medium 	7015.0	1403.0	7.0	589.3	01/10/2013
Channel Partners	United States of America	 Montana 	 Medium 	8169.0	2723.0	12.0	1960.6	01/11/2014
Government	France	 Paseo 	 Medium 	388960.0	1496.0	350.0	31416.0	01/06/2014
Channel Partners	Canada	 Paseo 	 Medium 	6897.0	2299.0	12.0	1655.3	01/10/2013
Government	United States of America	 Paseo 	 Medium 	189020.0	727.0	350.0	15267.0	01/10/2013
Enterprise	Canada	 Velo 	 Medium 	114240.0	952.0	125.0	7140.0	01/02/2014
Enterprise	United States of America	 Velo 	 Medium 	330600.0	2755.0	125.0	20662.5	01/02/2014
Midmarket	Germany	 Velo 	 Medium 	15300.0	1530.0	15.0	1377.0	01/05/2014
Government	France	 Velo 	 Medium 	388960.0	1496.0	350.0	31416.0	01/06/2014
Government	Mexico	 Velo 	 Medium 	7490.0	1498.0	7.0	629.2	01/06/2014
Small Business	France	 Velo 	 Medium 	305250.0	1221.0	300.0	21978.0	01/10/2013
Government	France	 Velo 	 Medium 	539760.0	2076.0	350.0	43596.0	01/10/2013
Midmarket	Canada	 VTT 	 Medium 	28440.0	2844.0	15.0	2559.6	01/06/2014
Government	Mexico	 VTT 	 Medium 	7490.0	1498.0	7.0	629.2	01/06/2014
Small Business	France	 VTT 	 Medium 	305250.0	1221.0	300.0	21978.0	01/10/2013
Government	Mexico	 VTT 	 Medium 	11230.0	1123.0	20.0	1347.6	01/11/2013
Small Business	Canada	 VTT 	 Medium 	609000.0	2436.0	300.0	43848.0	01/12/2013
Enterprise	France	 Amarilla 	 Medium 	238500.0	1987.5	125.0	14906.3	01/01/2014
Government	Mexico	 Amarilla 	 Medium 	436540.0	1679.0	350.0	35259.0	01/09/2014
Government	United States of America	 Amarilla 	 Medium 	189020.0	727.0	350.0	15267.0	01/10/2013
Government	France	 Amarilla 	 Medium 	7015.0	1403.0	7.0	589.3	01/10/2013
